function_name	arg1	arg2	arg_type	param1	param2	labels
__builtin_bfin_compose_2x16	0xBA98	0xFEDC	int			1
ll	a	b	int	a	b	0
ll	b	a	int	a	b	1
lh	a	b	int	a	b	0
lh	b	a	int	a	b	1
hl	a	b	int	a	b	0
hl	b	a	int	a	b	1
hh	a	b	int	a	b	0
hh	b	a	int	a	b	1
__builtin_bfin_compose_2x16	0x3000	0x2000	int			0
__builtin_bfin_compose_2x16	0x2000	0x3000	int			1
__builtin_bfin_compose_2x16	0x7000	0x5000	int			0
__builtin_bfin_compose_2x16	0x5000	0x7000	int			1
__builtin_bfin_compose_2x16	0x7000	0xc000	int			0
__builtin_bfin_compose_2x16	0xc000	0x7000	int			1
__builtin_bfin_add_fr2x16	a	b	int			0
__builtin_bfin_add_fr2x16	b	a	int			1
__builtin_bfin_sub_fr2x16	a	b	int			0
__builtin_bfin_sub_fr2x16	b	a	int			1
__builtin_bfin_add_fr1x32	0x7fffffff	1	int			0
__builtin_bfin_add_fr1x32	1	0x7fffffff	int			1
__builtin_bfin_compose_2x16	0xe005	0x1000	int			0
__builtin_bfin_compose_2x16	0x1000	0xe005	int			1
__builtin_bfin_compose_2x16	0x7000	0x5000	int			0
__builtin_bfin_compose_2x16	0x5000	0x7000	int			1
__builtin_bfin_compose_2x16	0x7000	0xc000	int			0
__builtin_bfin_compose_2x16	0xc000	0x7000	int			1
__builtin_bfin_mulhisill	a	b	int			0
__builtin_bfin_mulhisill	b	a	int			1
__builtin_bfin_mulhisilh	a	b	int			0
__builtin_bfin_mulhisilh	b	a	int			1
__builtin_bfin_mulhisihl	a	b	int			0
__builtin_bfin_mulhisihl	b	a	int			1
__builtin_bfin_mulhisihh	a	b	int			0
__builtin_bfin_mulhisihh	b	a	int			1
__builtin_bfin_compose_2x16	0x1234	0x5678	int			0
__builtin_bfin_compose_2x16	0x5678	0x1234	int			1
__builtin_bfin_compose_2x16	0xFEDC	0xBA98	int			0
__builtin_bfin_compose_2x16	0xBA98	0xFEDC	int			1
ll	a	b	int	a	b	0
ll	b	a	int	a	b	1
lh	a	b	int	a	b	0
lh	b	a	int	a	b	1
hl	a	b	int	a	b	0
hl	b	a	int	a	b	1
hh	a	b	int	a	b	0
hh	b	a	int	a	b	1
bar	f	g	void			0
bar	g	f	void			1
__builtin_alpha_minub8	x	y	int			0
__builtin_alpha_minub8	y	x	int			1
__builtin_alpha_minsb8	x	y	int			0
__builtin_alpha_minsb8	y	x	int			1
__builtin_alpha_minuw4	x	y	int			0
__builtin_alpha_minuw4	y	x	int			1
__builtin_alpha_minsw4	x	y	int			0
__builtin_alpha_minsw4	y	x	int			1
__builtin_alpha_maxub8	x	y	int			0
__builtin_alpha_maxub8	y	x	int			1
__builtin_alpha_maxsb8	x	y	int			0
__builtin_alpha_maxsb8	y	x	int			1
__builtin_alpha_maxuw4	x	y	int			0
__builtin_alpha_maxuw4	y	x	int			1
__builtin_alpha_maxsw4	x	y	int			0
__builtin_alpha_maxsw4	y	x	int			1
__builtin_alpha_perr	x	y	int			0
__builtin_alpha_perr	y	x	int			1
__builtin_alpha_minub8	x	y	int			0
__builtin_alpha_minub8	y	x	int			1
__builtin_alpha_minsb8	x	y	int			0
__builtin_alpha_minsb8	y	x	int			1
__builtin_alpha_minuw4	x	y	int			0
__builtin_alpha_minuw4	y	x	int			1
__builtin_alpha_minsw4	x	y	int			0
__builtin_alpha_minsw4	y	x	int			1
__builtin_alpha_maxub8	x	y	int			0
__builtin_alpha_maxub8	y	x	int			1
__builtin_alpha_maxsb8	x	y	int			0
__builtin_alpha_maxsb8	y	x	int			1
__builtin_alpha_maxuw4	x	y	int			0
__builtin_alpha_maxuw4	y	x	int			1
__builtin_alpha_maxsw4	x	y	int			0
__builtin_alpha_maxsw4	y	x	int			1
__builtin_alpha_perr	x	y	int			0
__builtin_alpha_perr	y	x	int			1
__builtin_alpha_cmpbge	x	y	int			0
__builtin_alpha_cmpbge	y	x	int			1
__builtin_alpha_extbl	x	y	int			0
__builtin_alpha_extbl	y	x	int			1
__builtin_alpha_extwl	x	y	int			0
__builtin_alpha_extwl	y	x	int			1
__builtin_alpha_extll	x	y	int			0
__builtin_alpha_extll	y	x	int			1
__builtin_alpha_extql	x	y	int			0
__builtin_alpha_extql	y	x	int			1
__builtin_alpha_extwh	x	y	int			0
__builtin_alpha_extwh	y	x	int			1
__builtin_alpha_extlh	x	y	int			0
__builtin_alpha_extlh	y	x	int			1
__builtin_alpha_extqh	x	y	int			0
__builtin_alpha_extqh	y	x	int			1
__builtin_alpha_insbl	x	y	int			0
__builtin_alpha_insbl	y	x	int			1
__builtin_alpha_inswl	x	y	int			0
__builtin_alpha_inswl	y	x	int			1
__builtin_alpha_insll	x	y	int			0
__builtin_alpha_insll	y	x	int			1
__builtin_alpha_insql	x	y	int			0
__builtin_alpha_insql	y	x	int			1
__builtin_alpha_inswh	x	y	int			0
__builtin_alpha_inswh	y	x	int			1
__builtin_alpha_inslh	x	y	int			0
__builtin_alpha_inslh	y	x	int			1
__builtin_alpha_insqh	x	y	int			0
__builtin_alpha_insqh	y	x	int			1
__builtin_alpha_mskbl	x	y	int			0
__builtin_alpha_mskbl	y	x	int			1
__builtin_alpha_mskwl	x	y	int			0
__builtin_alpha_mskwl	y	x	int			1
__builtin_alpha_mskll	x	y	int			0
__builtin_alpha_mskll	y	x	int			1
__builtin_alpha_mskql	x	y	int			0
__builtin_alpha_mskql	y	x	int			1
__builtin_alpha_mskwh	x	y	int			0
__builtin_alpha_mskwh	y	x	int			1
__builtin_alpha_msklh	x	y	int			0
__builtin_alpha_msklh	y	x	int			1
__builtin_alpha_mskqh	x	y	int			0
__builtin_alpha_mskqh	y	x	int			1
__builtin_alpha_umulh	x	y	int			0
__builtin_alpha_umulh	y	x	int			1
__builtin_alpha_zap	x	y	int			0
__builtin_alpha_zap	y	x	int			1
__builtin_alpha_zap	x	z	int			0
__builtin_alpha_zap	z	x	int			1
__builtin_alpha_zap	z	x	int			0
__builtin_alpha_zap	x	z	int			1
__builtin_alpha_zap	x	z	int			0
__builtin_alpha_zap	z	x	int			1
__builtin_alpha_zapnot	x	y	int			0
__builtin_alpha_zapnot	y	x	int			1
__builtin_alpha_zapnot	x	z	int			0
__builtin_alpha_zapnot	z	x	int			1
__builtin_alpha_zapnot	z	x	int			0
__builtin_alpha_zapnot	x	z	int			1
__builtin_alpha_zapnot	x	z	int			0
__builtin_alpha_zapnot	z	x	int			1
__builtin_alpha_minsb8	__m2	~	int			0
__builtin_alpha_minsb8	~	__m2	int			1
_mm_adds_pu8	src	pix_multiply	__m64	__m1	__m2	0
_mm_adds_pu8	pix_multiply	src	__m64	__m1	__m2	1
_mm_packs_pu16	_mm_adds_pu8	_mm_setzero_si64	__m64	__m1	__m2	0
_mm_packs_pu16	_mm_setzero_si64	_mm_adds_pu8	__m64	__m1	__m2	1
_mm_packs_pu16	dest0	dest1	__m64	__m1	__m2	0
_mm_packs_pu16	dest1	dest0	__m64	__m1	__m2	1
_mm_packs_pu16	_mm_adds_pu8	0	__m64	__m1	__m2	0
_mm_packs_pu16	0	_mm_adds_pu8	__m64	__m1	__m2	1
__builtin_alpha_cmpbge	x	y	int			0
__builtin_alpha_cmpbge	y	x	int			1
__builtin_alpha_extbl	x	y	int			0
__builtin_alpha_extbl	y	x	int			1
__builtin_alpha_extwl	x	y	int			0
__builtin_alpha_extwl	y	x	int			1
__builtin_alpha_extll	x	y	int			0
__builtin_alpha_extll	y	x	int			1
__builtin_alpha_extql	x	y	int			0
__builtin_alpha_extql	y	x	int			1
__builtin_alpha_extwh	x	y	int			0
__builtin_alpha_extwh	y	x	int			1
__builtin_alpha_extlh	x	y	int			0
__builtin_alpha_extlh	y	x	int			1
__builtin_alpha_extqh	x	y	int			0
__builtin_alpha_extqh	y	x	int			1
__builtin_alpha_insbl	x	y	int			0
__builtin_alpha_insbl	y	x	int			1
__builtin_alpha_inswl	x	y	int			0
__builtin_alpha_inswl	y	x	int			1
__builtin_alpha_insll	x	y	int			0
__builtin_alpha_insll	y	x	int			1
__builtin_alpha_insql	x	y	int			0
__builtin_alpha_insql	y	x	int			1
__builtin_alpha_inswh	x	y	int			0
__builtin_alpha_inswh	y	x	int			1
__builtin_alpha_inslh	x	y	int			0
__builtin_alpha_inslh	y	x	int			1
__builtin_alpha_insqh	x	y	int			0
__builtin_alpha_insqh	y	x	int			1
__builtin_alpha_mskbl	x	y	int			0
__builtin_bfin_compose_2x16	0x3000	0x2000	int			0
__builtin_bfin_compose_2x16	0x2000	0x3000	int			1
__builtin_bfin_compose_2x16	0x7000	0x5000	int			0
__builtin_bfin_compose_2x16	0x5000	0x7000	int			1
foo0000	a	b	fract2x16	a	b	0
foo0000	b	a	fract2x16	a	b	1
foo1000	a	b	fract2x16	a	b	0
foo1000	b	a	fract2x16	a	b	1
foo0100	a	b	fract2x16	a	b	0
foo0100	b	a	fract2x16	a	b	1
foo1100	a	b	fract2x16	a	b	0
foo1100	b	a	fract2x16	a	b	1
foo0010	a	b	fract2x16	a	b	0
foo0010	b	a	fract2x16	a	b	1
foo1010	a	b	fract2x16	a	b	0
foo1010	b	a	fract2x16	a	b	1
foo0110	a	b	fract2x16	a	b	0
foo0110	b	a	fract2x16	a	b	1
foo1110	a	b	fract2x16	a	b	0
foo1110	b	a	fract2x16	a	b	1
foo0001	a	b	fract2x16	a	b	0
foo0001	b	a	fract2x16	a	b	1
foo1001	a	b	fract2x16	a	b	0
foo1001	b	a	fract2x16	a	b	1
foo0101	a	b	fract2x16	a	b	0
foo0101	b	a	fract2x16	a	b	1
foo1101	a	b	fract2x16	a	b	0
foo1101	b	a	fract2x16	a	b	1
foo0011	a	b	fract2x16	a	b	0
foo0011	b	a	fract2x16	a	b	1
foo1011	a	b	fract2x16	a	b	0
foo1011	b	a	fract2x16	a	b	1
foo0111	a	b	fract2x16	a	b	0
foo0111	b	a	fract2x16	a	b	1
foo1111	a	b	fract2x16	a	b	0
foo1111	b	a	fract2x16	a	b	1
__builtin_bfin_mulhisill	a	b	int			0
__builtin_bfin_mulhisill	b	a	int			1
__builtin_bfin_mulhisilh	a	b	int			0
__builtin_bfin_mulhisilh	b	a	int			1
__builtin_bfin_mulhisihl	a	b	int			0
__builtin_bfin_mulhisihl	b	a	int			1
__builtin_bfin_mulhisihh	a	b	int			0
__builtin_bfin_mulhisihh	b	a	int			1
__builtin_bfin_compose_2x16	0x1234	0x5678	int			0
__builtin_bfin_compose_2x16	0x5678	0x1234	int			1
__builtin_bfin_compose_2x16	0xFEDC	0xBA98	int			0
__builtin_bfin_compose_2x16	0xBA98	0xFEDC	int			1
ll	a	b	int	a	b	0
ll	b	a	int	a	b	1
lh	a	b	int	a	b	0
lh	b	a	int	a	b	1
hl	a	b	int	a	b	0
hl	b	a	int	a	b	1
hh	a	b	int	a	b	0
hh	b	a	int	a	b	1
__builtin_bfin_compose_2x16	0x3000	0x2000	int			0
__builtin_bfin_compose_2x16	0x2000	0x3000	int			1
__builtin_bfin_compose_2x16	0x7000	0x5000	int			0
__builtin_bfin_compose_2x16	0x5000	0x7000	int			1
__builtin_bfin_compose_2x16	0x7000	0xc000	int			0
__builtin_bfin_compose_2x16	0xc000	0x7000	int			1
__builtin_bfin_add_fr2x16	a	b	int			0
__builtin_bfin_add_fr2x16	b	a	int			1
__builtin_bfin_sub_fr2x16	a	b	int			0
__builtin_bfin_sub_fr2x16	b	a	int			1
__builtin_bfin_add_fr1x32	0x7fffffff	1	int			0
__builtin_bfin_add_fr1x32	1	0x7fffffff	int			1
__builtin_bfin_compose_2x16	0xe005	0x1000	int			0
__builtin_bfin_compose_2x16	0x1000	0xe005	int			1
__builtin_bfin_compose_2x16	0x7000	0x5000	int			0
__builtin_bfin_compose_2x16	0x5000	0x7000	int			1
__builtin_bfin_compose_2x16	0x7000	0xc000	int			0
__builtin_bfin_compose_2x16	0xc000	0x7000	int			1
__builtin_bfin_mulhisill	a	b	int			0
__builtin_bfin_mulhisill	b	a	int			1
__builtin_bfin_mulhisilh	a	b	int			0
__builtin_bfin_mulhisilh	b	a	int			1
__builtin_bfin_mulhisihl	a	b	int			0
__builtin_bfin_mulhisihl	b	a	int			1
__builtin_bfin_mulhisihh	a	b	int			0
__builtin_bfin_mulhisihh	b	a	int			1
__builtin_bfin_compose_2x16	0x1234	0x5678	int			0
__builtin_bfin_compose_2x16	0x5678	0x1234	int			1
__builtin_bfin_compose_2x16	0xFEDC	0xBA98	int			0
__builtin_bfin_compose_2x16	0xBA98	0xFEDC	int			1
ll	a	b	int	a	b	0
ll	b	a	int	a	b	1
lh	a	b	int	a	b	0
lh	b	a	int	a	b	1
hl	a	b	int	a	b	0
hl	b	a	int	a	b	1
hh	a	b	int	a	b	0
hh	b	a	int	a	b	1
bar	f	g	void			0
bar	g	f	void			1
__builtin_alpha_minub8	x	y	int			0
__builtin_alpha_minub8	y	x	int			1
__builtin_alpha_minsb8	x	y	int			0
__builtin_alpha_minsb8	y	x	int			1
__builtin_alpha_minuw4	x	y	int			0
__builtin_alpha_minuw4	y	x	int			1
__builtin_alpha_minsw4	x	y	int			0
__builtin_alpha_minsw4	y	x	int			1
__builtin_alpha_maxub8	x	y	int			0
__builtin_alpha_maxub8	y	x	int			1
__builtin_alpha_maxsb8	x	y	int			0
__builtin_alpha_maxsb8	y	x	int			1
__builtin_alpha_maxuw4	x	y	int			0
__builtin_alpha_maxuw4	y	x	int			1
__builtin_alpha_maxsw4	x	y	int			0
__builtin_alpha_maxsw4	y	x	int			1
__builtin_alpha_perr	x	y	int			0
__builtin_alpha_perr	y	x	int			1
__builtin_alpha_minub8	x	y	int			0
__builtin_alpha_minub8	y	x	int			1
__builtin_alpha_minsb8	x	y	int			0
__builtin_alpha_minsb8	y	x	int			1
__builtin_alpha_minuw4	x	y	int			0
__builtin_alpha_minuw4	y	x	int			1
__builtin_alpha_minsw4	x	y	int			0
__builtin_alpha_minsw4	y	x	int			1
__builtin_alpha_maxub8	x	y	int			0
__builtin_alpha_maxub8	y	x	int			1
__builtin_alpha_maxsb8	x	y	int			0
__builtin_alpha_maxsb8	y	x	int			1
__builtin_alpha_maxuw4	x	y	int			0
__builtin_alpha_maxuw4	y	x	int			1
__builtin_alpha_maxsw4	x	y	int			0
__builtin_alpha_maxsw4	y	x	int			1
__builtin_alpha_perr	x	y	int			0
__builtin_alpha_perr	y	x	int			1
__builtin_alpha_cmpbge	x	y	int			0
__builtin_alpha_cmpbge	y	x	int			1
__builtin_alpha_extbl	x	y	int			0
__builtin_alpha_extbl	y	x	int			1
__builtin_alpha_extwl	x	y	int			0
__builtin_alpha_extwl	y	x	int			1
__builtin_alpha_extll	x	y	int			0
__builtin_alpha_extll	y	x	int			1
__builtin_alpha_extql	x	y	int			0
__builtin_alpha_extql	y	x	int			1
__builtin_alpha_extwh	x	y	int			0
__builtin_alpha_extwh	y	x	int			1
__builtin_alpha_extlh	x	y	int			0
__builtin_alpha_extlh	y	x	int			1
__builtin_alpha_extqh	x	y	int			0
__builtin_alpha_extqh	y	x	int			1
__builtin_alpha_insbl	x	y	int			0
__builtin_alpha_insbl	y	x	int			1
__builtin_alpha_inswl	x	y	int			0
__builtin_alpha_inswl	y	x	int			1
__builtin_alpha_insll	x	y	int			0
__builtin_alpha_insll	y	x	int			1
__builtin_alpha_insql	x	y	int			0
__builtin_alpha_insql	y	x	int			1
__builtin_alpha_inswh	x	y	int			0
__builtin_alpha_inswh	y	x	int			1
__builtin_alpha_inslh	x	y	int			0
__builtin_alpha_inslh	y	x	int			1
__builtin_alpha_insqh	x	y	int			0
__builtin_alpha_insqh	y	x	int			1
__builtin_alpha_mskbl	x	y	int			0
__builtin_alpha_mskbl	y	x	int			1
__builtin_alpha_mskwl	x	y	int			0
__builtin_alpha_mskwl	y	x	int			1
__builtin_alpha_mskll	x	y	int			0
__builtin_alpha_mskll	y	x	int			1
__builtin_alpha_mskql	x	y	int			0
__builtin_alpha_mskql	y	x	int			1
__builtin_alpha_mskwh	x	y	int			0
__builtin_alpha_mskwh	y	x	int			1
__builtin_alpha_msklh	x	y	int			0
__builtin_alpha_msklh	y	x	int			1
__builtin_alpha_mskqh	x	y	int			0
__builtin_alpha_mskqh	y	x	int			1
__builtin_alpha_umulh	x	y	int			0
__builtin_alpha_umulh	y	x	int			1
__builtin_alpha_zap	x	y	int			0
__builtin_alpha_zap	y	x	int			1
__builtin_alpha_zap	x	z	int			0
__builtin_alpha_zap	z	x	int			1
__builtin_alpha_zap	z	x	int			0
__builtin_alpha_zap	x	z	int			1
__builtin_alpha_zap	x	z	int			0
__builtin_alpha_zap	z	x	int			1
__builtin_alpha_zapnot	x	y	int			0
__builtin_alpha_zapnot	y	x	int			1
__builtin_alpha_zapnot	x	z	int			0
__builtin_alpha_zapnot	z	x	int			1
__builtin_alpha_zapnot	z	x	int			0
__builtin_alpha_zapnot	x	z	int			1
__builtin_alpha_zapnot	x	z	int			0
__builtin_alpha_zapnot	z	x	int			1
__builtin_alpha_minsb8	__m2	~	int			0
__builtin_alpha_minsb8	~	__m2	int			1
_mm_adds_pu8	src	pix_multiply	__m64	__m1	__m2	0
_mm_adds_pu8	pix_multiply	src	__m64	__m1	__m2	1
_mm_packs_pu16	_mm_adds_pu8	_mm_setzero_si64	__m64	__m1	__m2	0
_mm_packs_pu16	_mm_setzero_si64	_mm_adds_pu8	__m64	__m1	__m2	1
_mm_packs_pu16	dest0	dest1	__m64	__m1	__m2	0
_mm_packs_pu16	dest1	dest0	__m64	__m1	__m2	1
_mm_packs_pu16	_mm_adds_pu8	0	__m64	__m1	__m2	0
_mm_packs_pu16	0	_mm_adds_pu8	__m64	__m1	__m2	1
__builtin_alpha_cmpbge	x	y	int			0
__builtin_alpha_cmpbge	y	x	int			1
__builtin_alpha_extbl	x	y	int			0
__builtin_alpha_extbl	y	x	int			1
__builtin_alpha_extwl	x	y	int			0
__builtin_alpha_extwl	y	x	int			1
__builtin_alpha_extll	x	y	int			0
__builtin_alpha_extll	y	x	int			1
__builtin_alpha_extql	x	y	int			0
__builtin_alpha_extql	y	x	int			1
__builtin_alpha_extwh	x	y	int			0
__builtin_alpha_extwh	y	x	int			1
__builtin_alpha_extlh	x	y	int			0
__builtin_alpha_extlh	y	x	int			1
__builtin_alpha_extqh	x	y	int			0
__builtin_alpha_extqh	y	x	int			1
__builtin_alpha_insbl	x	y	int			0
__builtin_alpha_insbl	y	x	int			1
__builtin_alpha_inswl	x	y	int			0
__builtin_alpha_inswl	y	x	int			1
__builtin_alpha_insll	x	y	int			0
__builtin_alpha_insll	y	x	int			1
__builtin_alpha_insql	x	y	int			0
__builtin_alpha_insql	y	x	int			1
__builtin_alpha_inswh	x	y	int			0
__builtin_alpha_inswh	y	x	int			1
__builtin_alpha_inslh	x	y	int			0
__builtin_alpha_inslh	y	x	int			1
__builtin_alpha_insqh	x	y	int			0
__builtin_alpha_insqh	y	x	int			1
__builtin_alpha_mskbl	x	y	int			0
__builtin_alpha_mskbl	y	x	int			1
__builtin_alpha_mskwl	x	y	int			0
__builtin_alpha_mskwl	y	x	int			1
__builtin_alpha_mskll	x	y	int			0
__builtin_alpha_mskll	y	x	int			1
__builtin_alpha_mskql	x	y	int			0
__builtin_alpha_mskql	y	x	int			1
__builtin_alpha_mskwh	x	y	int			0
__builtin_alpha_mskwh	y	x	int			1
__builtin_alpha_msklh	x	y	int			0
__builtin_alpha_msklh	y	x	int			1
__builtin_alpha_mskqh	x	y	int			0
__builtin_alpha_mskqh	y	x	int			1
__builtin_alpha_umulh	x	y	int			0
__builtin_alpha_umulh	y	x	int			1
__builtin_alpha_zap	x	y	int			0
__builtin_alpha_zap	y	x	int			1
__builtin_alpha_zap	x	z	int			0
__builtin_alpha_zap	z	x	int			1
__builtin_alpha_zap	z	x	int			0
__builtin_alpha_zap	x	z	int			1
__builtin_alpha_zap	x	z	int			0
__builtin_alpha_zap	z	x	int			1
__builtin_alpha_zapnot	x	y	int			0
__builtin_alpha_zapnot	y	x	int			1
__builtin_alpha_zapnot	x	z	int			0
__builtin_alpha_zapnot	z	x	int			1
__builtin_alpha_zapnot	z	x	int			0
__builtin_alpha_zapnot	x	z	int			1
__builtin_alpha_zapnot	x	z	int			0
__builtin_alpha_zapnot	z	x	int			1
doit	1	2	void	x	y	0
doit	2	1	void	x	y	1
doit	2	1	void	x	y	0
doit	1	2	void	x	y	1
strcmp	a	b	int			0
strcmp	b	a	int			1
foo	&	(	int	p	q	0
foo	(	&	int	p	q	1
constrain_operands	insn_code_num	-	int	insn_code_num	strict	0
constrain_operands	-	insn_code_num	int	insn_code_num	strict	1
hard_reg_set_subset_p	temp_hard_regset	temp_set2	unsigned char	x	y	0
hard_reg_set_subset_p	temp_set2	temp_hard_regset	unsigned char	x	y	1
hard_reg_set_equal_p	temp_hard_regset	temp_set2	unsigned char	x	y	0
hard_reg_set_equal_p	temp_set2	temp_hard_regset	unsigned char	x	y	1
copysign	2.0	1.0	double			0
copysign	1.0	2.0	double			1
copysign	2.0	-	double			0
copysign	-	2.0	double			1
copysign	-	1.0	double			0
copysign	1.0	-	double			1
copysign	2.0	1.0	double			0
copysign	1.0	2.0	double			1
copysign	2.0	-	double			0
copysign	-	2.0	double			1
copysign	-	1.0	double			0
copysign	1.0	-	double			1
copysignf	2.0f	1.0f	float			0
copysignf	1.0f	2.0f	float			1
copysignf	2.0f	-	float			0
copysignf	-	2.0f	float			1
copysignf	-	1.0f	float			0
copysignf	1.0f	-	float			1
copysignl	2.0l	1.0l	long double			0
copysignl	1.0l	2.0l	long double			1
copysignl	2.0l	-	long double			0
copysignl	-	2.0l	long double			1
copysignl	-	1.0l	long double			0
copysignl	1.0l	-	long double			1
pow	2.0	3.0	double			0
pow	3.0	2.0	double			1
pow	2.0	-	double			0
pow	-	2.0	double			1
atan2	s2	c2	double			0
atan2	c2	s2	double			1
scalb	x	exp	double			0
scalb	exp	x	double			1
scalbf	x	exp	float			0
scalbf	exp	x	float			1
scalbl	x	exp	long double			0
scalbl	exp	x	long double			1
f2	dd	"xx"	int			0
f2	"xx"	dd	int			1
f2	ss	"xx"	int			0
f2	"xx"	ss	int			1
f2	ss	"yy"	int			0
f2	"yy"	ss	int			1
f2	ap	sp	int			0
f2	sp	ap	int			1
test3	1.0	-	double	x	y	0
test3	-	1.0	double	x	y	1
test3	1.0	2.0	double	x	y	0
test3	2.0	1.0	double	x	y	1
test3	1.0	-	double	x	y	0
test3	-	1.0	double	x	y	1
test3	2.0	1.0	double	x	y	0
test3	1.0	2.0	double	x	y	1
test3	2.0	-	double	x	y	0
test3	-	2.0	double	x	y	1
test3	2.0	-	double	x	y	0
test3	-	2.0	double	x	y	1
test3	-	1.0	double	x	y	0
test3	1.0	-	double	x	y	1
test3	-	2.0	double	x	y	0
test3	2.0	-	double	x	y	1
test3f	1.0f	-	float	x	y	0
test3f	-	1.0f	float	x	y	1
test3f	1.0f	2.0f	float	x	y	0
test3f	2.0f	1.0f	float	x	y	1
test3f	1.0f	-	float	x	y	0
test3f	-	1.0f	float	x	y	1
test3f	2.0f	1.0f	float	x	y	0
test3f	1.0f	2.0f	float	x	y	1
test3f	2.0f	-	float	x	y	0
test3f	-	2.0f	float	x	y	1
test3f	2.0f	-	float	x	y	0
test3f	-	2.0f	float	x	y	1
test3f	-	1.0f	float	x	y	0
test3f	1.0f	-	float	x	y	1
test3f	-	2.0f	float	x	y	0
test3f	2.0f	-	float	x	y	1
test4	1.0	-	double	x	y	0
test4	-	1.0	double	x	y	1
test4	-	1.0	double	x	y	0
test4	1.0	-	double	x	y	1
test4	6.0	3.0	double	x	y	0
test4	3.0	6.0	double	x	y	1
test4	6.0	-	double	x	y	0
test4	-	6.0	double	x	y	1
test4	-	3.0	double	x	y	0
test4	3.0	-	double	x	y	1
test4f	1.0f	-	float	x	y	0
test4f	-	1.0f	float	x	y	1
test4f	-	1.0f	float	x	y	0
test4f	1.0f	-	float	x	y	1
test4f	6.0f	3.0f	float	x	y	0
test4f	3.0f	6.0f	float	x	y	1
test4f	6.0f	-	float	x	y	0
test4f	-	6.0f	float	x	y	1
test4f	-	3.0f	float	x	y	0
test4f	3.0f	-	float	x	y	1
pow	x	-	double			0
pow	-	x	double			1
pow	x	2.0	double			0
pow	2.0	x	double			1
pow	x	-	double			0
pow	-	x	double			1
pow	x	0.5	double			0
pow	0.5	x	double			1
num_equality_op	a	b	cpp_num	lhs	rhs	0
num_equality_op	b	a	cpp_num	lhs	rhs	1
__builtin_expect	y	0	long			0
__builtin_expect	0	y	long			1
__builtin_expect	*	0	long			0
__builtin_expect	0	*	long			1
strcmp	a	b	int			0
strcmp	b	a	int			1
__builtin_strcmp	"ABC"	"ABCDEF"	int			0
__builtin_strcmp	"ABCDEF"	"ABC"	int			1
__builtin_strcmp	"XYZ"	"XYZDEF"	int			0
__builtin_strcmp	"XYZDEF"	"XYZ"	int			1
__builtin_strcmp	"ABC"	"ABCDEF"	int			0
__builtin_strcmp	"ABCDEF"	"ABC"	int			1
__builtin_expect	!	1	long			0
__builtin_expect	1	!	long			1
f	2	31	uint32_t	a	b	0
f	31	2	uint32_t	a	b	1
__builtin_expect	y	0	long			0
__builtin_expect	0	y	long			1
b7	6	7	int			0
b7	7	6	int			1
b8	6	7	int			0
b8	7	6	int			1
f0	s	""	int	s0	s1	0
f0	""	s	int	s0	s1	1
strcmp	s	"0x1p+f 0x1p+l"	int			0
strcmp	"0x1p+f 0x1p+l"	s	int			1
iaddv	2	-	int	a	b	0
iaddv	-	2	int	a	b	1
isubv	2	3	int	a	b	0
