function_name,arg1,arg2,arg_type,param1,param2,labels,,,,,
eprintf,LoadBofName %s can't understand bof version != 5\n,fname,int,,,0,,,,,
eprintf,fname,LoadBofName %s can't understand bof version != 5\n,int,,,1,,,,,
eprintf,SaveAccounts can't open %s to save accounts!\n,filename,int,,,0,,,,,
eprintf,filename,SaveAccounts can't open %s to save accounts!\n,int,,,1,,,,,
AddStringToPacket,GetMotdLength,GetMotd,int,,,0,,,,,
AddStringToPacket,GetMotd,GetMotdLength,int,,,1,,,,,
dprintf,%s\n,buf,int,,,0,,,,,
dprintf,buf,%s\n,int,,,1,,,,,
dprintf,%s,buf,int,,,0,,,,,
dprintf,buf,%s,int,,,1,,,,,
stristr,s0,s1,const char *,pSource,pSearch,0,,,,,
stristr,s1,s0,const char *,pSource,pSearch,1,,,,,
strstr,command_table,command,char *,,,0,,,,,
strstr,command,command_table,char *,,,1,,,,,
aprintf,%-10s ,command_table,void,fmt,fmt,0,,,,,
aprintf,command_table,%-10s ,void,fmt,fmt,1,,,,,
aprintf, %s\n,command_table,void,fmt,fmt,0,,,,,
aprintf,command_table, %s\n,void,fmt,fmt,1,,,,,
aprintf,%-18.18s ,str,void,fmt,fmt,0,,,,,
aprintf,str,%-18.18s ,void,fmt,fmt,1,,,,,
lprintf,AdminLock locking game (%s).\n,lockstr,int,,,0,,,,,
lprintf,lockstr,AdminLock locking game (%s).\n,int,,,1,,,,,
aprintf,%-20s ,config_name,void,fmt,fmt,0,,,,,
aprintf,config_name,%-20s ,void,fmt,fmt,1,,,,,
aprintf,'%s' is not a tag.\n,admin_show_references_tag_str,void,fmt,fmt,0,,,,,
aprintf,admin_show_references_tag_str,'%s' is not a tag.\n,void,fmt,fmt,1,,,,,
aprintf,'%s' is not valid data.\n,admin_show_references_data_str,void,fmt,fmt,0,,,,,
aprintf,admin_show_references_data_str,'%s' is not valid data.\n,void,fmt,fmt,1,,,,,
GetConfigIDByGroupAndName,group,name,int,,,0,,,,,
GetConfigIDByGroupAndName,name,group,int,,,1,,,,,
GetConfigIDByGroupAndName,group,name,int,,,0,,,,,
GetConfigIDByGroupAndName,name,group,int,,,1,,,,,
stricmp,new_value,YES,int,,,0,,,,,
stricmp,YES,new_value,int,,,1,,,,,
stricmp,new_value,NO,int,,,0,,,,,
stricmp,NO,new_value,int,,,1,,,,,
GetConfigIDByGroupAndName,group,name,int,,,0,,,,,
GetConfigIDByGroupAndName,name,group,int,,,1,,,,,
stricmp,type,AUTO,int,,,0,,,,,
stricmp,AUTO,type,int,,,1,,,,,
aprintf,Cannot find message '%s'.\n,message_name,void,fmt,fmt,0,,,,,
aprintf,message_name,Cannot find message '%s'.\n,void,fmt,fmt,1,,,,,
lprintf,LoadAll loaded game saved at %s\n,time_str,int,,,0,,,,,
lprintf,time_str,LoadAll loaded game saved at %s\n,int,,,1,,,,,
stricmp,t1,LASTSAVE,int,,,0,,,,,
stricmp,LASTSAVE,t1,int,,,1,,,,,
eprintf,SaveStrings can't open %s to save strings!\n,filename,int,,,0,,,,,
eprintf,filename,SaveStrings can't open %s to save strings!\n,int,,,1,,,,,
fopen,argv,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,argv,FILE *,__filename,__modes,1,,,,,
fopen,argv,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,argv,FILE *,__filename,__modes,1,,,,,
fopen,argv,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,argv,FILE *,__filename,__modes,1,,,,,
fopen,argv,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,argv,FILE *,__filename,__modes,1,,,,,
fopen,temp.unp,wb,FILE *,__filename,__modes,0,,,,,
fopen,wb,temp.unp,FILE *,__filename,__modes,1,,,,,
rename,temp.unp,argv,int,__old,__new,0,,,,,
rename,argv,temp.unp,int,__old,__new,1,,,,,
fopen,name,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,name,FILE *,__filename,__modes,1,,,,,
strcmp,fileName1,fileName2,int,__s1,__s2,0,,,,,
strcmp,fileName2,fileName1,int,__s1,__s2,1,,,,,
strcmpcasenosensitive_internal,fileName1,fileName2,int,fileName1,fileName2,0,,,,,
strcmpcasenosensitive_internal,fileName2,fileName1,int,fileName1,fileName2,1,,,,,
VS,_MEIPASS2 is %s\n,(,int,,,0,,,,,
VS,(,_MEIPASS2 is %s\n,int,,,1,,,,,
FATALERROR,Error in command: %s\n,cmd,int,,,0,,,,,
FATALERROR,cmd,Error in command: %s\n,int,,,1,,,,,
fopen,src,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,src,FILE *,__filename,__modes,1,,,,,
openTarget,dst,filename,FILE *,path,name_,0,,,,,
openTarget,filename,dst,FILE *,path,name_,1,,,,,
VS,Pathname: %s\n,pathname,int,,,0,,,,,
VS,pathname,Pathname: %s\n,int,,,1,,,,,
strcmp,fnm,.,int,__s1,__s2,0,,,,,
strcmp,.,fnm,int,__s1,__s2,1,,,,,
strcmp,fnm,..,int,__s1,__s2,0,,,,,
strcmp,..,fnm,int,__s1,__s2,1,,,,,
VS,thisfile is %s\n,thisfile,int,,,0,,,,,
VS,thisfile,thisfile is %s\n,int,,,1,,,,,
VS,homepath is %s\n,homepath,int,,,0,,,,,
VS,homepath,homepath is %s\n,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,mode,int,,,0,,,,,
strcmp,mode,name,int,,,1,,,,,
strcmp,name,block_size,int,,,0,,,,,
strcmp,block_size,name,int,,,1,,,,,
strcmp,name,key_size,int,,,0,,,,,
strcmp,key_size,name,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,mode,int,,,0,,,,,
strcmp,mode,name,int,,,1,,,,,
strcmp,name,block_size,int,,,0,,,,,
strcmp,block_size,name,int,,,1,,,,,
strcmp,name,key_size,int,,,0,,,,,
strcmp,key_size,name,int,,,1,,,,,
strcmp,fileName1,fileName2,int,__s1,__s2,0,,,,,
strcmp,fileName2,fileName1,int,__s1,__s2,1,,,,,
strcmpcasenosensitive_internal,fileName1,fileName2,int,fileName1,fileName2,0,,,,,
strcmpcasenosensitive_internal,fileName2,fileName1,int,fileName1,fileName2,1,,,,,
FATALERROR,Error in command: %s\n,cmd,int,,,0,,,,,
FATALERROR,cmd,Error in command: %s\n,int,,,1,,,,,
setPaths,archivePath,archiveName,int,archivePath,archiveName,0,,,,,
setPaths,archiveName,archivePath,int,archivePath,archiveName,1,,,,,
setPaths,archivePath,archiveName,int,archivePath,archiveName,0,,,,,
setPaths,archiveName,archivePath,int,archivePath,archiveName,1,,,,,
strcmp,fnm,.,int,,,0,,,,,
strcmp,.,fnm,int,,,1,,,,,
strcmp,fnm,..,int,,,0,,,,,
strcmp,..,fnm,int,,,1,,,,,
VS,workpath: %s\n,workpath,int,,,0,,,,,
VS,workpath,workpath: %s\n,int,,,1,,,,,
setPaths,archivePath,archiveName,int,,,0,,,,,
setPaths,archiveName,archivePath,int,,,1,,,,,
VS,%s\n,envvar,int,,,0,,,,,
VS,envvar,%s\n,int,,,1,,,,,
VS,_MEIPASS2 (workpath) is %s\n,(,int,,,0,,,,,
VS,(,_MEIPASS2 (workpath) is %s\n,int,,,1,,,,,
exportWorkpath,workpath,LD_LIBRARY_PATH,void,workpath,envvar_name,0,,,,,
exportWorkpath,LD_LIBRARY_PATH,workpath,void,workpath,envvar_name,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,mode,int,,,0,,,,,
strcmp,mode,name,int,,,1,,,,,
strcmp,name,block_size,int,,,0,,,,,
strcmp,block_size,name,int,,,1,,,,,
strcmp,name,key_size,int,,,0,,,,,
strcmp,key_size,name,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,IV,int,,,0,,,,,
strcmp,IV,name,int,,,1,,,,,
strcmp,name,mode,int,,,0,,,,,
strcmp,mode,name,int,,,1,,,,,
strcmp,name,block_size,int,,,0,,,,,
strcmp,block_size,name,int,,,1,,,,,
strcmp,name,key_size,int,,,0,,,,,
strcmp,key_size,name,int,,,1,,,,,
strcmp,mode,r,int,__s1,__s2,0,,,,,
strcmp,r,mode,int,__s1,__s2,1,,,,,
strcmp,mode,rb,int,__s1,__s2,0,,,,,
strcmp,rb,mode,int,__s1,__s2,1,,,,,
strcmp,mode,r+,int,__s1,__s2,0,,,,,
strcmp,r+,mode,int,__s1,__s2,1,,,,,
strcmp,mode,rb+,int,__s1,__s2,0,,,,,
strcmp,rb+,mode,int,__s1,__s2,1,,,,,
strcmp,mode,r+b,int,__s1,__s2,0,,,,,
strcmp,r+b,mode,int,__s1,__s2,1,,,,,
strcmp,mode,w,int,__s1,__s2,0,,,,,
strcmp,w,mode,int,__s1,__s2,1,,,,,
strcmp,mode,wb,int,__s1,__s2,0,,,,,
strcmp,wb,mode,int,__s1,__s2,1,,,,,
strcmp,mode,w+,int,__s1,__s2,0,,,,,
strcmp,w+,mode,int,__s1,__s2,1,,,,,
strcmp,mode,wb+,int,__s1,__s2,0,,,,,
strcmp,wb+,mode,int,__s1,__s2,1,,,,,
strcmp,mode,w+b,int,__s1,__s2,0,,,,,
strcmp,w+b,mode,int,__s1,__s2,1,,,,,
strcmp,mode,a,int,__s1,__s2,0,,,,,
strcmp,a,mode,int,__s1,__s2,1,,,,,
strcmp,mode,ab,int,__s1,__s2,0,,,,,
strcmp,ab,mode,int,__s1,__s2,1,,,,,
strcmp,mode,a+,int,__s1,__s2,0,,,,,
strcmp,a+,mode,int,__s1,__s2,1,,,,,
strcmp,mode,ab+,int,__s1,__s2,0,,,,,
strcmp,ab+,mode,int,__s1,__s2,1,,,,,
strcmp,mode,a+b,int,__s1,__s2,0,,,,,
strcmp,a+b,mode,int,__s1,__s2,1,,,,,
Py_BuildValue,s,stats,int,,,0,,,,,
Py_BuildValue,stats,s,int,,,1,,,,,
strcmp,model name,key,int,,,0,,,,,
strcmp,key,model name,int,,,1,,,,,
strcmp,cache size,key,int,,,0,,,,,
strcmp,key,cache size,int,,,1,,,,,
__INFO,"Get Key:<%s>,but value is NULL",key,int,,,0,,,,,
__INFO,key,"Get Key:<%s>,but value is NULL",int,,,1,,,,,
strcmp,argv,write,int,,,0,,,,,
strcmp,write,argv,int,,,1,,,,,
strcmp,argv,read,int,,,0,,,,,
strcmp,read,argv,int,,,1,,,,,
strcmp,argv,readone,int,,,0,,,,,
strcmp,readone,argv,int,,,1,,,,,
strcmp,argv,exists,int,,,0,,,,,
strcmp,exists,argv,int,,,1,,,,,
strcmp,argv,shrink,int,,,0,,,,,
strcmp,shrink,argv,int,,,1,,,,,
strcmp,argv,writeone,int,,,0,,,,,
strcmp,writeone,argv,int,,,1,,,,,
strcmp,argv,delete,int,,,0,,,,,
strcmp,delete,argv,int,,,1,,,,,
ASSERT_EQUAL,c,value,int,,,0,,,,,
ASSERT_EQUAL,value,c,int,,,1,,,,,
CTEST_LOG,the value is %s,value,int,,,0,,,,,
CTEST_LOG,value,the value is %s,int,,,1,,,,,
ASSERT_EQUAL,i,value,int,,,0,,,,,
ASSERT_EQUAL,value,i,int,,,1,,,,,
ness_strcmp,item,sst,int,,,0,,,,,
ness_strcmp,sst,item,int,,,1,,,,,
ness_strcmp,sk,block,int,,,0,,,,,
ness_strcmp,block,sk,int,,,1,,,,,
xcalloc,1,vsize,int,,,0,,,,,
xcalloc,vsize,1,int,,,1,,,,,
xcalloc,1,val_len,int,,,0,,,,,
xcalloc,val_len,1,int,,,1,,,,,
__ERROR,\t this SST %s has shrinked,sname,int,,,0,,,,,
__ERROR,sname,\t this SST %s has shrinked,int,,,1,,,,,
__ERROR,\t....finished %s,sname,int,,,0,,,,,
__ERROR,sname,\t....finished %s,int,,,1,,,,,
strcmp,A,action,int,,,0,,,,,
strcmp,action,A,int,,,1,,,,,
strcmp,M,action,int,,,0,,,,,
strcmp,action,M,int,,,1,,,,,
strcmp,A,action,int,,,0,,,,,
strcmp,action,A,int,,,1,,,,,
I_DROP_INDEX,fdClientes,indexIdClientes,int,,,0,,,,,
I_DROP_INDEX,indexIdClientes,fdClientes,int,,,1,,,,,
I_DROP_INDEX,fdSucursales,indexIdSucursales,int,,,0,,,,,
I_DROP_INDEX,indexIdSucursales,fdSucursales,int,,,1,,,,,
mult,i,j,int,x,y,0,,,,,
mult,j,i,int,x,y,1,,,,,
SPRITE_SIZE_BYTES,size,color,int,,,0,,,,,
SPRITE_SIZE_BYTES,color,size,int,,,1,,,,,
fopen,argv,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,argv,FILE *,__filename,__modes,1,,,,,
lcd_gotoxy,0,1,int,,,0,,,,,
lcd_gotoxy,1,0,int,,,1,,,,,
set_servo,0,20,int,,,0,,,,,
set_servo,20,0,int,,,1,,,,,
set_servo,1,80,int,,,0,,,,,
set_servo,80,1,int,,,1,,,,,
set_servo,2,50,int,,,0,,,,,
set_servo,50,2,int,,,1,,,,,
set_servo,3,50,int,,,0,,,,,
set_servo,50,3,int,,,1,,,,,
set_servo,4,50,int,,,0,,,,,
set_servo,50,4,int,,,1,,,,,
lcd_gotoxy,0,1,int,,,0,,,,,
lcd_gotoxy,1,0,int,,,1,,,,,
set_servo,0,20,int,,,0,,,,,
set_servo,20,0,int,,,1,,,,,
set_servo,1,80,int,,,0,,,,,
set_servo,80,1,int,,,1,,,,,
set_servo,2,30,int,,,0,,,,,
set_servo,30,2,int,,,1,,,,,
set_servo,2,70,int,,,0,,,,,
set_servo,70,2,int,,,1,,,,,
set_servo,2,30,int,,,0,,,,,
set_servo,30,2,int,,,1,,,,,
set_servo,2,70,int,,,0,,,,,
set_servo,70,2,int,,,1,,,,,
set_servo,2,30,int,,,0,,,,,
set_servo,30,2,int,,,1,,,,,
set_servo,2,70,int,,,0,,,,,
set_servo,70,2,int,,,1,,,,,
set_servo,2,30,int,,,0,,,,,
set_servo,30,2,int,,,1,,,,,
set_servo,2,70,int,,,0,,,,,
set_servo,70,2,int,,,1,,,,,
set_servo,2,30,int,,,0,,,,,
set_servo,30,2,int,,,1,,,,,
set_servo,2,70,int,,,0,,,,,
set_servo,70,2,int,,,1,,,,,
